deal_id,deal_name,company_name,industry,stage,deal_value,probability,created_date,close_date,days_in_stage,sales_rep,lead_source
DEAL001,Enterprise SaaS License,Tech Corp,Technology,Negotiation,150000,75,2024-01-05,2024-02-15,10,John Nguyen,Website
DEAL002,Marketing Platform,Retail Co,Retail,Proposal,85000,60,2024-01-08,2024-02-20,7,Sarah Tran,Referral
DEAL003,Analytics Solution,Finance Inc,Finance,Qualification,200000,40,2024-01-10,2024-03-01,5,Mike Le,Cold Call
DEAL004,CRM Integration,SME Business,SME,Discovery,45000,30,2024-01-12,2024-02-28,3,John Nguyen,LinkedIn
DEAL005,Data Warehouse,Tech Startup,Technology,Closed Won,120000,100,2024-01-01,2024-01-25,0,Sarah Tran,Website
DEAL006,Cloud Migration,Enterprise Co,Enterprise,Negotiation,300000,80,2024-01-03,2024-02-10,12,Mike Le,Partner
DEAL007,Security Suite,Bank Ltd,Finance,Proposal,180000,65,2024-01-07,2024-02-18,8,John Nguyen,Event
DEAL008,HR Platform,Manufacturing Inc,Manufacturing,Closed Lost,95000,0,2024-01-09,2024-01-30,0,Sarah Tran,Website
DEAL009,E-commerce Solution,Retail Chain,Retail,Qualification,110000,45,2024-01-11,2024-03-05,4,Mike Le,Cold Call
DEAL010,Mobile App Dev,Startup XYZ,Technology,Discovery,75000,35,2024-01-13,2024-03-10,2,John Nguyen,Referral
DEAL011,BI Dashboard,Healthcare Co,Healthcare,Negotiation,160000,70,2024-01-06,2024-02-12,9,Sarah Tran,Website
DEAL012,AI Chatbot,Customer Service Inc,Services,Proposal,90000,55,2024-01-09,2024-02-22,6,Mike Le,LinkedIn
DEAL013,DevOps Platform,Tech Corp,Technology,Closed Won,140000,100,2024-01-02,2024-01-28,0,John Nguyen,Partner
DEAL014,Marketing Automation,Agency Co,Marketing,Qualification,70000,50,2024-01-10,2024-02-25,5,Sarah Tran,Event
DEAL015,Supply Chain System,Logistics Ltd,Logistics,Discovery,250000,40,2024-01-12,2024-03-15,3,Mike Le,Cold Call
